Ad ID,Product,Audience,Region,Budget,Impressions,Clicks,Conversions,CTR,ROI,Ad Description
AD001,Smartphone,Tech Enthusiasts,Asia,320.4,3228,363,61,0.112,9.52,Buy Smartphone now! Exclusive offer for Tech Enthusiasts in Asia.
AD002,Sneakers,Tech Enthusiasts,Africa,178.24,1775,56,4,0.032,1.12,Buy Sneakers now! Exclusive offer for Tech Enthusiasts in Africa.
AD003,Protein Powder,Tech Enthusiasts,North America,184.33,1922,24,5,0.012,1.36,Buy Protein Powder now! Exclusive offer for Tech Enthusiasts in North America.
AD004,Sneakers,Foodies,Africa,123.88,1277,161,14,0.126,5.65,Buy Sneakers now! Exclusive offer for Foodies in Africa.
AD005,Sneakers,Foodies,South America,298.4,2960,155,24,0.052,4.02,Buy Sneakers now! Exclusive offer for Foodies in South America.
AD006,Chocolate Box,Gamers,North America,782.93,7806,550,59,0.07,3.77,Buy Chocolate Box now! Exclusive offer for Gamers in North America.
AD007,Sneakers,Fitness Fans,Asia,350.08,3450,175,21,0.051,3.0,Buy Sneakers now! Exclusive offer for Fitness Fans in Asia.
AD008,Sneakers,Gamers,North America,183.47,1850,136,28,0.074,7.63,Buy Sneakers now! Exclusive offer for Gamers in North America.
AD009,Smartphone,Gamers,Asia,643.35,6436,598,35,0.093,2.72,Buy Smartphone now! Exclusive offer for Gamers in Asia.
AD010,Smartphone,Fitness Fans,Africa,212.34,2052,195,16,0.095,3.77,Buy Smartphone now! Exclusive offer for Fitness Fans in Africa.
AD011,Protein Powder,Tech Enthusiasts,Africa,363.86,3608,381,52,0.106,7.15,Buy Protein Powder now! Exclusive offer for Tech Enthusiasts in Africa.
AD012,Chocolate Box,Gamers,Africa,273.06,2716,73,10,0.027,1.83,Buy Chocolate Box now! Exclusive offer for Gamers in Africa.
AD013,Smartphone,Tech Enthusiasts,Europe,795.76,7998,429,66,0.054,4.15,Buy Smartphone now! Exclusive offer for Tech Enthusiasts in Europe.
AD014,Smartphone,Fashion Lovers,North America,442.11,4360,377,32,0.086,3.62,Buy Smartphone now! Exclusive offer for Fashion Lovers in North America.
AD015,Protein Powder,Gamers,Europe,433.16,4368,97,8,0.022,0.92,Buy Protein Powder now! Exclusive offer for Gamers in Europe.
AD016,Sneakers,Gamers,North America,648.22,6490,105,12,0.016,0.93,Buy Sneakers now! Exclusive offer for Gamers in North America.
AD017,Sneakers,Foodies,Europe,247.06,2396,301,36,0.126,7.29,Buy Sneakers now! Exclusive offer for Foodies in Europe.
AD018,Protein Powder,Gamers,Africa,297.65,2940,145,22,0.049,3.7,Buy Protein Powder now! Exclusive offer for Gamers in Africa.
AD019,Gaming Laptop,Tech Enthusiasts,Europe,839.62,8412,171,42,0.02,2.5,Buy Gaming Laptop now! Exclusive offer for Tech Enthusiasts in Europe.
AD020,Gaming Laptop,Fitness Fans,Asia,159.57,1576,186,16,0.118,5.01,Buy Gaming Laptop now! Exclusive offer for Fitness Fans in Asia.
AD021,Chocolate Box,Gamers,Europe,689.89,6950,819,53,0.118,3.84,Buy Chocolate Box now! Exclusive offer for Gamers in Europe.
AD022,Protein Powder,Fitness Fans,Europe,338.39,3430,206,15,0.06,2.22,Buy Protein Powder now! Exclusive offer for Fitness Fans in Europe.
AD023,Sneakers,Foodies,Africa,336.47,3381,190,11,0.056,1.63,Buy Sneakers now! Exclusive offer for Foodies in Africa.
AD024,Chocolate Box,Fitness Fans,Africa,459.46,4643,248,28,0.053,3.05,Buy Chocolate Box now! Exclusive offer for Fitness Fans in Africa.
AD025,Sneakers,Fashion Lovers,Africa,544.16,5482,735,106,0.134,9.74,Buy Sneakers now! Exclusive offer for Fashion Lovers in Africa.
AD026,Smartphone,Tech Enthusiasts,Europe,664.7,6714,179,34,0.027,2.56,Buy Smartphone now! Exclusive offer for Tech Enthusiasts in Europe.
AD027,Protein Powder,Foodies,North America,446.29,4480,528,78,0.118,8.74,Buy Protein Powder now! Exclusive offer for Foodies in North America.
AD028,Chocolate Box,Fitness Fans,Africa,326.27,3339,277,37,0.083,5.67,Buy Chocolate Box now! Exclusive offer for Fitness Fans in Africa.
AD029,Chocolate Box,Tech Enthusiasts,North America,713.54,7139,385,58,0.054,4.06,Buy Chocolate Box now! Exclusive offer for Tech Enthusiasts in North America.
AD030,Chocolate Box,Gamers,Asia,200.4,1989,272,27,0.137,6.74,Buy Chocolate Box now! Exclusive offer for Gamers in Asia.
AD031,Protein Powder,Fashion Lovers,South America,102.92,1103,46,3,0.042,1.46,Buy Protein Powder now! Exclusive offer for Fashion Lovers in South America.
